Date,Avg Price (All),S&P Close,USD FX Index,DOW DJI Close,Emerging Market ETF
8/9/2017,56.26035714,2474.02,93.4,22048.7,38.59
8/8/2017,56.42,2474.92,93.52,22085.34,38.8
8/7/2017,55.73678571,2480.91,93.64,22118.42,38.86
8/4/2017,56.46964286,2476.83,#N/A,22092.81,38.55
8/3/2017,56.88321429,2472.16,93.54,22026.1,38.45
8/2/2017,56.245,2477.57,92.81,22016.24,38.6
8/1/2017,55.24535714,2476.35,92.83,21963.92,38.51
7/31/2017,55.99178571,2470.3,93.03,21891.12,38.35
7/28/2017,56.01535714,2472.1,#N/A,21830.31,38.28
7/27/2017,55.15678571,2475.42,93.26,21796.55,38.14
7/26/2017,54.58071429,2477.83,93.86,21711.01,38.34
7/25/2017,54.02821429,2477.13,93.67,21613.43,38.06
7/24/2017,52.88964286,2469.91,94.05,21513.17,38.12
7/21/2017,52.8775,2472.54,#N/A,21580.07,37.98
7/20/2017,53.57107143,2473.45,93.94,21611.78,38.06
7/19/2017,53.5,2473.83,94.27,21640.75,38.14
7/18/2017,52.78642857,2460.61,94.8,21574.73,37.78
7/17/2017,52.95642857,2459.14,94.66,21629.72,37.71
7/14/2017,52.82535714,2459.27,#N/A,21637.74,37.91
7/13/2017,52.59,2447.83,95.11,21553.09,37.53
7/12/2017,51.90928571,2443.25,95.73,21532.14,37.42
7/11/2017,51.42285714,2425.53,95.79,21409.07,36.72
7/10/2017,51.56535714,2427.43,95.74,21408.52,36.47
7/7/2017,51.28892857,2425.18,#N/A,21414.34,36.21
7/6/2017,53.08928571,2409.75,96.01,21320.04,36.11
7/5/2017,52.25642857,2432.54,95.82,21478.17,36.51
7/4/2017,53.73392857,#N/A,96.29,#N/A,#N/A
7/3/2017,53.48071429,2429.01,-,21479.27,36.57
6/30/2017,52.18107143,2423.41,#N/A,21349.63,36.4
6/29/2017,52.04678571,2419.7,95.66,21287.03,36.12
6/28/2017,51.58035714,2440.69,95.63,21454.61,36.53
6/27/2017,51.35821429,2419.38,96.05,21310.66,36.31
6/26/2017,50.07,2439.07,96.47,21409.55,36.7
6/23/2017,49.98785714,2438.3,#N/A,21394.76,36.31
6/22/2017,50.20928571,2434.5,97.3,21397.29,36.18
6/21/2017,50.23821429,2435.61,97.54,21410.03,36.05
6/20/2017,50.02,2437.03,97.56,21467.14,35.91
6/19/2017,51.5625,2453.46,97.75,21528.99,36.34
6/16/2017,51.375,2433.15,#N/A,21384.28,36.11
6/15/2017,51.16535714,2432.46,97.16,21359.9,35.99
6/14/2017,51.02678571,2437.92,97.43,21374.56,36.31
6/13/2017,52.08428571,2440.35,96.94,21328.47,36.34
6/12/2017,52.63357143,2429.39,96.98,21235.67,36.17
6/9/2017,52.19821429,2431.77,#N/A,21271.97,36.3
6/8/2017,51.875,2433.79,97.27,21182.53,36.55
6/7/2017,52.33892857,2433.14,96.92,21173.69,36.48
6/6/2017,53.11678571,2429.33,96.75,21136.23,36.5
6/5/2017,53.00285714,2436.1,96.64,21184.04,36.48
6/2/2017,53.74714286,2439.07,#N/A,21206.29,36.48
6/1/2017,54.84107143,2430.06,96.72,21144.18,36.36
5/31/2017,54.05714286,2411.8,97.2,21008.65,36.1
5/30/2017,55.19035714,2412.91,96.92,21029.47,36.36
5/26/2017,55.565,2415.82,#N/A,21080.28,36.42
5/25/2017,56.69821429,2415.07,97.4,21082.95,36.34
5/24/2017,57.58142857,2404.39,97.25,21012.42,36.15
5/23/2017,57.48857143,2398.42,97.24,20937.91,36.03
5/22/2017,57.4725,2394.02,97.35,20894.83,36.04
5/19/2017,57.03214286,2381.73,#N/A,20804.84,36.05
5/18/2017,56.21785714,2365.72,97.15,20663.02,35.42
5/17/2017,56.02071429,2357.03,97.88,20606.93,36.09
5/16/2017,55.59107143,2400.67,97.42,20979.75,36.64
5/15/2017,55.80464286,2402.32,98.11,20981.94,36.6
5/12/2017,54.39321429,2390.9,#N/A,20896.61,36.27
5/11/2017,54.64035714,2394.44,99.25,20919.42,36.07
5/10/2017,53.83071429,2399.63,99.62,20943.11,36.09
5/9/2017,52.64321429,2396.92,99.67,20975.78,35.8
5/8/2017,52.35107143,2399.38,99.59,21012.28,35.41
5/5/2017,52.90357143,2399.29,#N/A,21006.94,35.63
5/4/2017,52.70964286,2389.52,98.65,20951.47,35.42
5/3/2017,53.9475,2388.13,98.76,20957.9,35.8
5/2/2017,54.56821429,2391.17,99.21,20949.89,36.06
4/28/2017,55.23821429,2384.2,#N/A,20940.51,35.74
4/27/2017,54.51785714,2388.77,99.05,20981.33,35.59
4/26/2017,55.62642857,2387.45,99.08,20975.09,35.71
4/25/2017,55.185,2388.61,98.96,20996.12,35.84
4/24/2017,55.03071429,2374.15,98.82,20763.89,35.58
4/21/2017,55.21928571,2348.69,#N/A,20547.76,35.18
4/20/2017,55.93035714,2355.84,99.98,20578.71,35.21
4/19/2017,56.88642857,2338.17,99.78,20404.49,34.85
4/18/2017,57.315,2342.19,99.74,20523.28,35.1
4/17/2017,57.315,2349.01,99.5,20636.92,35.52
4/13/2017,58.09642857,2328.95,#N/A,20453.25,35.22
4/12/2017,58.08178571,2344.93,100.56,20591.86,35.41
4/11/2017,57.84857143,2353.78,100.78,20651.3,35.28
4/10/2017,58.07178571,2357.16,100.71,20658.02,35.25
4/7/2017,57.48821429,2355.54,#N/A,20656.1,35.41
4/6/2017,57.16607143,2357.49,101.18,20662.95,35.42
4/5/2017,56.99964286,2352.95,100.67,20648.15,35.49
4/4/2017,56.775,2360.16,100.56,20689.24,35.55
4/3/2017,56.11,2358.84,100.54,20650.21,35.47
3/31/2017,55.99928571,2362.72,#N/A,20663.22,35.19
3/30/2017,56.19892857,2368.06,100.35,20728.49,35.46
3/29/2017,55.61428571,2361.13,100.41,20659.32,35.66
3/28/2017,55.22857143,2358.57,100,20701.5,35.61
3/27/2017,54.66107143,2341.59,99.71,20550.98,35.52
3/24/2017,54.6325,2343.98,#N/A,20596.72,35.63
3/23/2017,54.6675,2345.96,99.63,20656.58,35.53
3/22/2017,54.44928571,2348.45,99.76,20661.3,35.51
3/21/2017,54.955,2344.02,99.68,20668.01,35.34
3/20/2017,55.46928571,2373.47,99.81,20905.86,35.78
3/17/2017,55.36642857,2378.25,#N/A,20914.62,35.43
3/16/2017,55.23607143,2381.38,100.3,20934.55,35.47
3/15/2017,55.26178571,2385.26,100.27,20950.1,35.23
